Class,Title,Instructor,Cr Hrs,Type,Enroll,Limit,Bld,Room,Day,Start,Stop,Unit Dept,Start Mtg Dt,End Mtg Dt,Session ID,Session Desc,Session Start Dt,Session End Dt,School Drop Dt,Last Reg Dt,Eligible Grade Dt,Last Drop w/o W Dt,Last Drop with W Dt,XRG,Non XRG
CAS AN101 A1,Intro Cult Anth,Parla,4,Lecture,0,175,,,"Mon,Wed,Fri",10:10 AM,11:00 AM,20226,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AN101 A2,Intro Cult Anth,Parla,0,Discussion,0,22,,,Thu,11:15 AM,12:05 PM,20226,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS AN101 A3,Intro Cult Anth,Parla,0,Discussion,0,22,,,Fri,2:30 PM,3:20 PM,20226,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AN101 A4,Intro Cult Anth,Parla,0,Discussion,0,22,,,Wed,1:25 PM,2:15 PM,20226,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS AN101 A5,Intro Cult Anth,Parla,0,Discussion,0,22,,,Tue,11:15 AM,12:05 PM,20226,09/07/2021,12/07/2021,,,,,,,,,,0,0
CAS AN101 A6,Intro Cult Anth,Parla,0,Discussion,0,22,,,Mon,9:05 AM,9:55 AM,20226,09/13/2021,12/06/2021,,,,,,,,,,0,0
CAS AN101 A8,Intro Cult Anth,Parla,0,Discussion,0,22,,,Thu,11:15 AM,12:05 PM,20226,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS AN101 A9,Intro Cult Anth,Parla,0,Discussion,0,22,,,Wed,3:35 PM,4:25 PM,20226,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS AN101 B1,Intro Cult Anth,Parla,0,Discussion,0,22,,,Mon,2:30 PM,3:20 PM,20226,09/13/2021,12/06/2021,,,,,,,,,,0,0
CAS AN102 A1,Human Biology,Knott,4,Lecture,0,175,,,"Mon,Wed,Fri",11:15 AM,12:05 PM,20226,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AN102 A2,Human Biology,Knott,0,Lab,0,12,,,Mon,12:20 PM,2:05 PM,20226,09/13/2021,12/06/2021,,,,,,,,,,0,0
CAS AN102 A5,Human Biology,Knott,0,Lab,0,12,,,Mon,2:30 PM,4:15 PM,20226,09/13/2021,12/06/2021,,,,,,,,,,0,0
CAS AN102 A6,Human Biology,Knott,0,Lab,0,12,,,Wed,2:30 PM,4:15 PM,20226,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS AN102 A7,Human Biology,Knott,0,Lab,0,12,,,Thu,9:00 AM,10:45 AM,20226,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS AN102 A9,Human Biology,Knott,0,Lab,0,12,,,Fri,8:00 AM,9:45 AM,20226,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AN210 A1,Medical Anthro,Shohet,4,Lecture,0,40,,,"Mon,Wed,Fri",1:25 PM,2:15 PM,20226,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AN210 A2,Medical Anthro,Shohet,0,Discussion,0,20,,,Fri,10:10 AM,11:00 AM,20226,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AN210 A3,Medical Anthro,Shohet,0,Discussion,0,20,,,Wed,2:30 PM,3:20 PM,20226,09/08/2021,12/08/2021,,,,,,,,,,0,0
